year,round,race_name,circuit_id,circuit_name,date,Other,Race Incident/Crash,Race Status,Technical Failure,Total,Total_Retirements
1994,1,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,1994-03-27,0,9,12,5,26,14
1994,2,Pacific Grand Prix,okayama,Okayama International Circuit,1994-04-17,0,7,11,8,26,15
1994,3,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,1994-05-01,2,8,12,5,27,13
1994,4,Monaco Grand Prix,monaco,Circuit de Monaco,1994-05-15,3,5,11,7,26,12
1994,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,1994-05-29,1,3,10,13,27,16
1994,6,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,1994-06-12,1,4,14,7,26,11
1994,7,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,1994-07-03,0,6,10,10,26,16
1994,8,British Grand Prix,silverstone,Silverstone Circuit,1994-07-10,1,0,16,9,26,9
1994,9,German Grand Prix,hockenheimring,Hockenheimring,1994-07-31,0,10,8,8,26,18
1994,10,Hungarian Grand Prix,hungaroring,Hungaroring,1994-08-14,0,7,11,8,26,15
1994,11,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,1994-08-28,1,3,12,10,26,13
1994,12,Italian Grand Prix,monza,Autodromo Nazionale di Monza,1994-09-11,0,8,9,9,26,17
1994,13,Portuguese Grand Prix,estoril,Autódromo do Estoril,1994-09-25,1,4,16,5,26,9
1994,14,European Grand Prix,jerez,Circuito de Jerez,1994-10-16,0,2,19,5,26,7
1994,15,Japanese Grand Prix,suzuka,Suzuka Circuit,1994-11-06,0,9,13,4,26,13
1994,16,Australian Grand Prix,adelaide,Adelaide Street Circuit,1994-11-13,0,5,11,10,26,15
1995,1,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,1995-03-26,0,4,10,12,26,16
1995,2,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,1995-04-09,2,9,9,6,26,15
1995,3,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,1995-04-30,2,3,14,7,26,10
1995,4,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,1995-05-14,1,0,15,10,26,10
1995,5,Monaco Grand Prix,monaco,Circuit de Monaco,1995-05-28,2,5,10,9,26,14
1995,6,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,1995-06-11,0,6,9,9,24,15
1995,7,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,1995-07-02,1,4,16,3,24,7
