year,round,driver_id,stop,lap,duration,race_name,circuit_id,driver_name,grid_position,finish_position,position_change,status,race_completed
2011,1,alguersuari,1,1,26.898,Australian Grand Prix,albert_park,Jaime Alguersuari,12,11,1,+1 Lap,True
2011,1,michael_schumacher,1,1,25.021,Australian Grand Prix,albert_park,Michael Schumacher,11,19,-8,Collision,False
2011,1,webber,1,11,23.426,Australian Grand Prix,albert_park,Mark Webber,3,5,-2,Finished,True
2011,1,alonso,1,12,23.251,Australian Grand Prix,albert_park,Fernando Alonso,5,4,1,Finished,True
2011,1,massa,1,13,23.842,Australian Grand Prix,albert_park,Felipe Massa,8,7,1,Finished,True
2011,1,barrichello,1,13,23.643,Australian Grand Prix,albert_park,Rubens Barrichello,17,16,1,Transmission,False
2011,1,vettel,1,14,22.603,Australian Grand Prix,albert_park,Sebastian Vettel,1,1,0,Finished,True
2011,1,resta,1,14,24.863,Australian Grand Prix,albert_park,Paul di Resta,14,10,4,+1 Lap,True
2011,1,ambrosio,1,14,25.259,Australian Grand Prix,albert_park,Jérôme d'Ambrosio,22,14,8,+4 Laps,True
2011,1,buemi,1,15,25.342,Australian Grand Prix,albert_park,Sébastien Buemi,10,8,2,+1 Lap,True
2011,1,heidfeld,1,15,22.994,Australian Grand Prix,albert_park,Nick Heidfeld,18,12,6,+1 Lap,True
2011,1,hamilton,1,16,23.227,Australian Grand Prix,albert_park,Lewis Hamilton,2,2,0,Finished,True
2011,1,petrov,1,16,24.535,Australian Grand Prix,albert_park,Vitaly Petrov,6,3,3,Finished,True
2011,1,rosberg,1,16,23.716,Australian Grand Prix,albert_park,Nico Rosberg,7,17,-10,Collision,False
2011,1,kobayashi,1,16,24.064,Australian Grand Prix,albert_park,Kamui Kobayashi,9,21,-12,Disqualified,False
2011,1,sutil,1,16,25.978,Australian Grand Prix,albert_park,Adrian Sutil,16,9,7,+1 Lap,True
2011,1,trulli,1,16,24.899,Australian Grand Prix,albert_park,Jarno Trulli,20,13,7,+2 Laps,True
2011,1,button,1,17,16.867,Australian Grand Prix,albert_park,Jenson Button,4,6,-2,Finished,True
2011,1,kovalainen,1,17,24.865,Australian Grand Prix,albert_park,Heikki Kovalainen,19,18,1,Water leak,False
2011,1,glock,1,18,23.792,Australian Grand Prix,albert_park,Timo Glock,21,15,6,+9 Laps,True
2011,1,perez,1,23,23.438,Australian Grand Prix,albert_park,Sergio Pérez,13,22,-9,Disqualified,False
2011,1,alguersuari,2,17,24.463,Australian Grand Prix,albert_park,Jaime Alguersuari,12,11,1,+1 Lap,True
2011,1,michael_schumacher,2,17,23.988,Australian Grand Prix,albert_park,Michael Schumacher,11,19,-8,Collision,False
2011,1,button,2,19,23.303,Australian Grand Prix,albert_park,Jenson Button,4,6,-2,Finished,True
2011,1,barrichello,2,23,37.856,Australian Grand Prix,albert_park,Rubens Barrichello,17,16,1,Transmission,False
2011,1,webber,2,26,22.520,Australian Grand Prix,albert_park,Mark Webber,3,5,-2,Finished,True
2011,1,alonso,2,27,24.733,Australian Grand Prix,albert_park,Fernando Alonso,5,4,1,Finished,True
2011,1,buemi,2,29,23.100,Australian Grand Prix,albert_park,Sébastien Buemi,10,8,2,+1 Lap,True
2011,1,heidfeld,2,30,25.098,Australian Grand Prix,albert_park,Nick Heidfeld,18,12,6,+1 Lap,True
2011,1,massa,2,31,24.500,Australian Grand Prix,albert_park,Felipe Massa,8,7,1,Finished,True
2011,1,kobayashi,2,32,24.192,Australian Grand Prix,albert_park,Kamui Kobayashi,9,21,-12,Disqualified,False
2011,1,vettel,2,36,24.036,Australian Grand Prix,albert_park,Sebastian Vettel,1,1,0,Finished,True
2011,1,hamilton,2,36,23.199,Australian Grand Prix,albert_park,Lewis Hamilton,2,2,0,Finished,True
2011,1,petrov,2,36,25.683,Australian Grand Prix,albert_park,Vitaly Petrov,6,3,3,Finished,True
2011,1,resta,2,36,24.332,Australian Grand Prix,albert_park,Paul di Resta,14,10,4,+1 Lap,True
2011,1,sutil,2,37,23.871,Australian Grand Prix,albert_park,Adrian Sutil,16,9,7,+1 Lap,True
2011,1,trulli,2,37,24.848,Australian Grand Prix,albert_park,Jarno Trulli,20,13,7,+2 Laps,True
2011,1,ambrosio,2,38,26.446,Australian Grand Prix,albert_park,Jérôme d'Ambrosio,22,14,8,+4 Laps,True
2011,1,barrichello,3,28,16.892,Australian Grand Prix,albert_park,Rubens Barrichello,17,16,1,Transmission,False
2011,1,alguersuari,3,35,26.348,Australian Grand Prix,albert_park,Jaime Alguersuari,12,11,1,+1 Lap,True
2011,1,button,3,37,22.681,Australian Grand Prix,albert_park,Jenson Button,4,6,-2,Finished,True
2011,1,webber,3,41,26.230,Australian Grand Prix,albert_park,Mark Webber,3,5,-2,Finished,True
2011,1,alonso,3,42,24.181,Australian Grand Prix,albert_park,Fernando Alonso,5,4,1,Finished,True
2011,1,massa,3,48,24.095,Australian Grand Prix,albert_park,Felipe Massa,8,7,1,Finished,True
2011,1,barrichello,4,40,26.309,Australian Grand Prix,albert_park,Rubens Barrichello,17,16,1,Transmission,False
2011,2,sutil,1,3,31.694,Malaysian Grand Prix,sepang,Adrian Sutil,17,11,6,+1 Lap,True
2011,2,barrichello,1,3,32.978,Malaysian Grand Prix,sepang,Rubens Barrichello,15,22,-7,Gearbox,False
2011,2,webber,1,10,22.572,Malaysian Grand Prix,sepang,Mark Webber,3,4,-1,Finished,True
2011,2,resta,1,11,22.773,Malaysian Grand Prix,sepang,Paul di Resta,14,10,4,Finished,True
2011,2,hamilton,1,12,22.552,Malaysian Grand Prix,sepang,Lewis Hamilton,2,8,-6,Finished,True
2011,2,vettel,1,13,23.019,Malaysian Grand Prix,sepang,Sebastian Vettel,1,1,0,Finished,True
2011,2,heidfeld,1,13,23.900,Malaysian Grand Prix,sepang,Nick Heidfeld,6,3,3,Finished,True
2011,2,button,1,13,22.400,Malaysian Grand Prix,sepang,Jenson Button,4,2,2,Finished,True
2011,2,massa,1,13,29.224,Malaysian Grand Prix,sepang,Felipe Massa,7,5,2,Finished,True
2011,2,trulli,1,13,25.516,Malaysian Grand Prix,sepang,Jarno Trulli,20,20,0,Clutch,False
2011,2,alonso,1,14,23.152,Malaysian Grand Prix,sepang,Fernando Alonso,5,6,-1,Finished,True
2011,2,michael_schumacher,1,14,22.576,Malaysian Grand Prix,sepang,Michael Schumacher,11,9,2,Finished,True
2011,2,petrov,1,15,23.182,Malaysian Grand Prix,sepang,Vitaly Petrov,8,17,-9,Accident,False
2011,2,buemi,1,15,23.280,Malaysian Grand Prix,sepang,Sébastien Buemi,12,13,-1,+1 Lap,True
2011,2,rosberg,1,15,24.967,Malaysian Grand Prix,sepang,Nico Rosberg,9,12,-3,+1 Lap,True
2011,2,kovalainen,1,15,29.084,Malaysian Grand Prix,sepang,Heikki Kovalainen,19,15,4,+1 Lap,True
2011,2,alguersuari,1,16,23.584,Malaysian Grand Prix,sepang,Jaime Alguersuari,13,14,-1,+1 Lap,True
2011,2,kobayashi,1,17,23.280,Malaysian Grand Prix,sepang,Kamui Kobayashi,10,7,3,Finished,True
2011,2,perez,1,17,23.597,Malaysian Grand Prix,sepang,Sergio Pérez,16,21,-5,Accident,False
2011,2,glock,1,17,24.617,Malaysian Grand Prix,sepang,Timo Glock,21,16,5,+2 Laps,True
2011,2,ambrosio,1,17,26.252,Malaysian Grand Prix,sepang,Jérôme d'Ambrosio,22,19,3,Accident,False
2011,2,liuzzi,1,17,27.815,Malaysian Grand Prix,sepang,Vitantonio Liuzzi,23,18,5,+10 Laps,True
2011,2,sutil,2,16,22.046,Malaysian Grand Prix,sepang,Adrian Sutil,17,11,6,+1 Lap,True
2011,2,barrichello,2,17,24.502,Malaysian Grand Prix,sepang,Rubens Barrichello,15,22,-7,Gearbox,False
2011,2,buemi,2,20,29.843,Malaysian Grand Prix,sepang,Sébastien Buemi,12,13,-1,+1 Lap,True
2011,2,webber,2,22,21.991,Malaysian Grand Prix,sepang,Mark Webber,3,4,-1,Finished,True
2011,2,button,2,23,22.471,Malaysian Grand Prix,sepang,Jenson Button,4,2,2,Finished,True
2011,2,hamilton,2,24,22.611,Malaysian Grand Prix,sepang,Lewis Hamilton,2,8,-6,Finished,True
2011,2,resta,2,24,22.419,Malaysian Grand Prix,sepang,Paul di Resta,14,10,4,Finished,True
2011,2,vettel,2,25,21.893,Malaysian Grand Prix,sepang,Sebastian Vettel,1,1,0,Finished,True
2011,2,alonso,2,26,23.894,Malaysian Grand Prix,sepang,Fernando Alonso,5,6,-1,Finished,True
2011,2,heidfeld,2,26,23.221,Malaysian Grand Prix,sepang,Nick Heidfeld,6,3,3,Finished,True
2011,2,massa,2,27,22.541,Malaysian Grand Prix,sepang,Felipe Massa,7,5,2,Finished,True
2011,2,petrov,2,27,22.680,Malaysian Grand Prix,sepang,Vitaly Petrov,8,17,-9,Accident,False
2011,2,michael_schumacher,2,28,22.261,Malaysian Grand Prix,sepang,Michael Schumacher,11,9,2,Finished,True
2011,2,rosberg,2,29,22.577,Malaysian Grand Prix,sepang,Nico Rosberg,9,12,-3,+1 Lap,True
2011,2,alguersuari,2,32,22.888,Malaysian Grand Prix,sepang,Jaime Alguersuari,13,14,-1,+1 Lap,True
2011,2,kovalainen,2,34,23.336,Malaysian Grand Prix,sepang,Heikki Kovalainen,19,15,4,+1 Lap,True
2011,2,glock,2,34,24.429,Malaysian Grand Prix,sepang,Timo Glock,21,16,5,+2 Laps,True
2011,2,ambrosio,2,35,24.416,Malaysian Grand Prix,sepang,Jérôme d'Ambrosio,22,19,3,Accident,False
2011,2,kobayashi,2,36,23.442,Malaysian Grand Prix,sepang,Kamui Kobayashi,10,7,3,Finished,True
2011,2,liuzzi,2,38,26.554,Malaysian Grand Prix,sepang,Vitantonio Liuzzi,23,18,5,+10 Laps,True
2011,2,webber,3,32,22.069,Malaysian Grand Prix,sepang,Mark Webber,3,4,-1,Finished,True
2011,2,sutil,3,32,22.550,Malaysian Grand Prix,sepang,Adrian Sutil,17,11,6,+1 Lap,True
2011,2,buemi,3,32,27.439,Malaysian Grand Prix,sepang,Sébastien Buemi,12,13,-1,+1 Lap,True
2011,2,hamilton,3,37,25.382,Malaysian Grand Prix,sepang,Lewis Hamilton,2,8,-6,Finished,True
2011,2,resta,3,37,23.977,Malaysian Grand Prix,sepang,Paul di Resta,14,10,4,Finished,True
2011,2,button,3,38,22.483,Malaysian Grand Prix,sepang,Jenson Button,4,2,2,Finished,True
2011,2,massa,3,38,22.893,Malaysian Grand Prix,sepang,Felipe Massa,7,5,2,Finished,True
2011,2,heidfeld,3,39,22.602,Malaysian Grand Prix,sepang,Nick Heidfeld,6,3,3,Finished,True
2011,2,rosberg,3,40,22.526,Malaysian Grand Prix,sepang,Nico Rosberg,9,12,-3,+1 Lap,True
2011,2,vettel,3,41,22.313,Malaysian Grand Prix,sepang,Sebastian Vettel,1,1,0,Finished,True
2011,2,alonso,3,41,23.812,Malaysian Grand Prix,sepang,Fernando Alonso,5,6,-1,Finished,True
2011,2,michael_schumacher,3,42,22.227,Malaysian Grand Prix,sepang,Michael Schumacher,11,9,2,Finished,True
2011,2,petrov,3,44,28.694,Malaysian Grand Prix,sepang,Vitaly Petrov,8,17,-9,Accident,False
2011,2,liuzzi,3,44,38.823,Malaysian Grand Prix,sepang,Vitantonio Liuzzi,23,18,5,+10 Laps,True
2011,2,webber,4,43,22.161,Malaysian Grand Prix,sepang,Mark Webber,3,4,-1,Finished,True
2011,2,alonso,4,46,27.182,Malaysian Grand Prix,sepang,Fernando Alonso,5,6,-1,Finished,True
2011,2,hamilton,4,52,22.466,Malaysian Grand Prix,sepang,Lewis Hamilton,2,8,-6,Finished,True
2011,3,alguersuari,1,9,22.419,Chinese Grand Prix,shanghai,Jaime Alguersuari,7,24,-17,Wheel,False
2011,3,liuzzi,1,9,14.160,Chinese Grand Prix,shanghai,Vitantonio Liuzzi,23,22,1,+2 Laps,True
2011,3,michael_schumacher,1,10,20.522,Chinese Grand Prix,shanghai,Michael Schumacher,14,8,6,Finished,True
2011,3,webber,1,10,23.442,Chinese Grand Prix,shanghai,Mark Webber,18,3,15,Finished,True
2011,3,maldonado,1,10,23.160,Chinese Grand Prix,shanghai,Pastor Maldonado,17,18,-1,+1 Lap,True
2011,3,resta,1,11,21.989,Chinese Grand Prix,shanghai,Paul di Resta,8,11,-3,Finished,True
2011,3,rosberg,1,12,20.771,Chinese Grand Prix,shanghai,Nico Rosberg,4,5,-1,Finished,True
2011,3,buemi,1,12,22.010,Chinese Grand Prix,shanghai,Sébastien Buemi,9,14,-5,Finished,True
2011,3,button,1,14,23.779,Chinese Grand Prix,shanghai,Jenson Button,2,4,-2,Finished,True
2011,3,vettel,1,14,21.995,Chinese Grand Prix,shanghai,Sebastian Vettel,1,2,-1,Finished,True
2011,3,kobayashi,1,14,21.855,Chinese Grand Prix,shanghai,Kamui Kobayashi,13,10,3,Finished,True
2011,3,massa,1,15,21.624,Chinese Grand Prix,shanghai,Felipe Massa,6,6,0,Finished,True
2011,3,hamilton,1,15,20.878,Chinese Grand Prix,shanghai,Lewis Hamilton,3,1,2,Finished,True
2011,3,sutil,1,15,20.989,Chinese Grand Prix,shanghai,Adrian Sutil,11,15,-4,+1 Lap,True
2011,3,alonso,1,16,22.524,Chinese Grand Prix,shanghai,Fernando Alonso,5,7,-2,Finished,True
2011,3,perez,1,16,21.473,Chinese Grand Prix,shanghai,Sergio Pérez,12,17,-5,+1 Lap,True
2011,3,barrichello,1,16,21.709,Chinese Grand Prix,shanghai,Rubens Barrichello,15,13,2,Finished,True
2011,3,glock,1,16,22.683,Chinese Grand Prix,shanghai,Timo Glock,22,21,1,+2 Laps,True
2011,3,petrov,1,17,21.981,Chinese Grand Prix,shanghai,Vitaly Petrov,10,9,1,Finished,True
2011,3,heidfeld,1,18,22.216,Chinese Grand Prix,shanghai,Nick Heidfeld,16,12,4,Finished,True
2011,3,kovalainen,1,19,22.485,Chinese Grand Prix,shanghai,Heikki Kovalainen,19,16,3,+1 Lap,True
2011,3,trulli,1,20,23.029,Chinese Grand Prix,shanghai,Jarno Trulli,20,19,1,+1 Lap,True
2011,3,ambrosio,1,20,22.901,Chinese Grand Prix,shanghai,Jérôme d'Ambrosio,21,20,1,+2 Laps,True
2011,3,karthikeyan,1,23,26.049,Chinese Grand Prix,shanghai,Narain Karthikeyan,24,23,1,+2 Laps,True
2011,3,buemi,2,16,24.722,Chinese Grand Prix,shanghai,Sébastien Buemi,9,14,-5,Finished,True
2011,3,liuzzi,2,21,24.467,Chinese Grand Prix,shanghai,Vitantonio Liuzzi,23,22,1,+2 Laps,True
2011,3,button,2,24,20.758,Chinese Grand Prix,shanghai,Jenson Button,2,4,-2,Finished,True
2011,3,rosberg,2,25,22.005,Chinese Grand Prix,shanghai,Nico Rosberg,4,5,-1,Finished,True
2011,3,hamilton,2,25,20.533,Chinese Grand Prix,shanghai,Lewis Hamilton,3,1,2,Finished,True
2011,3,webber,2,25,21.132,Chinese Grand Prix,shanghai,Mark Webber,18,3,15,Finished,True
2011,3,maldonado,2,25,22.062,Chinese Grand Prix,shanghai,Pastor Maldonado,17,18,-1,+1 Lap,True
2011,3,michael_schumacher,2,26,21.964,Chinese Grand Prix,shanghai,Michael Schumacher,14,8,6,Finished,True
2011,3,glock,2,28,21.908,Chinese Grand Prix,shanghai,Timo Glock,22,21,1,+2 Laps,True
2011,3,sutil,2,30,21.058,Chinese Grand Prix,shanghai,Adrian Sutil,11,15,-4,+1 Lap,True
2011,3,kobayashi,2,30,21.936,Chinese Grand Prix,shanghai,Kamui Kobayashi,13,10,3,Finished,True
2011,3,heidfeld,2,30,21.821,Chinese Grand Prix,shanghai,Nick Heidfeld,16,12,4,Finished,True
2011,3,vettel,2,31,21.533,Chinese Grand Prix,shanghai,Sebastian Vettel,1,2,-1,Finished,True
2011,3,alonso,2,32,21.251,Chinese Grand Prix,shanghai,Fernando Alonso,5,7,-2,Finished,True
2011,3,resta,2,32,21.218,Chinese Grand Prix,shanghai,Paul di Resta,8,11,-3,Finished,True
2011,3,massa,2,33,21.168,Chinese Grand Prix,shanghai,Felipe Massa,6,6,0,Finished,True
2011,3,ambrosio,2,34,22.802,Chinese Grand Prix,shanghai,Jérôme d'Ambrosio,21,20,1,+2 Laps,True
2011,3,barrichello,2,35,21.481,Chinese Grand Prix,shanghai,Rubens Barrichello,15,13,2,Finished,True
2011,3,perez,2,36,23.397,Chinese Grand Prix,shanghai,Sergio Pérez,12,17,-5,+1 Lap,True
2011,3,petrov,2,37,22.005,Chinese Grand Prix,shanghai,Vitaly Petrov,10,9,1,Finished,True
2011,3,kovalainen,2,40,21.890,Chinese Grand Prix,shanghai,Heikki Kovalainen,19,16,3,+1 Lap,True
2011,3,trulli,2,42,22.260,Chinese Grand Prix,shanghai,Jarno Trulli,20,19,1,+1 Lap,True
2011,3,buemi,3,33,21.928,Chinese Grand Prix,shanghai,Sébastien Buemi,9,14,-5,Finished,True
2011,3,button,3,37,21.237,Chinese Grand Prix,shanghai,Jenson Button,2,4,-2,Finished,True
2011,3,hamilton,3,38,20.567,Chinese Grand Prix,shanghai,Lewis Hamilton,3,1,2,Finished,True
2011,3,rosberg,3,39,20.720,Chinese Grand Prix,shanghai,Nico Rosberg,4,5,-1,Finished,True
2011,3,michael_schumacher,3,39,21.400,Chinese Grand Prix,shanghai,Michael Schumacher,14,8,6,Finished,True
